Trade,Strategy,Symbol,Side,DateIn,TimeIn,QtyIn,PriceIn,DateOut,TimeOut,QtyOut,PriceOut,Reason,Bars,PctGain,Profit,PctMFE,PctMAE,Fraction,Size,CommsIn,CommsInPct,CommsOut,CommsOutPct,SlipIn,SlipInPct,SlipOut,SlipOutPct,Dividends,FXSize,FxIn,FxOut,NetFX,SavedCalcIn,SavedCalcOut,VolumePct_In,VolumePct_Out
55,ASX_Trend_Following,AVG.au,Long,1998-01-05,open,3797.0,1.6482,1998-06-15,open,3797.0,1.7413,zero position,108,0.0695,435.23,0.3045,-0.0171,0.05,6258,6.6,0.0011,6.6,0.001,31.14,0.005,33.22,0.005,94.92,6258.22,1,1,0,0,0,0.1167,2.67583
56,ASX_Trend_Following,ELT-199905.au,Long,1998-06-01,open,4287.0,1.5277,1998-06-15,open,4287.0,1.403,zero position,9,-0.0836,-547.79,0.0081,-0.1163,0.05,6549,6.6,0.001,6.6,0.0011,32.8,0.005,30.22,0.005,0.0,6549.25,1,1,0,0,0,0.10936,0.30621
57,ASX_Trend_Following,GTV-200701.au,Long,1998-02-02,open,4460.0,1.4372,1998-06-15,open,4460.0,1.393,zero position,90,-0.0085,-54.23,0.2176,-0.0815,0.05,6410,6.6,0.001,6.6,0.0011,32.11,0.005,31.22,0.005,156.1,6409.91,1,1,0,0,0,0.06208,0.446
58,ASX_Trend_Following,HSL-200103.au,Long,1996-12-02,open,1451.0,1.2564,1998-06-15,open,1470.11,2.7363,zero position,381,1.1993,2186.43,2.0245,-0.0369,0.0182,1823,6.6,0.0036,6.6,0.0016,25.5,0.014,19.95,0.005,0.0,1823.04,1,1,0,0,0,0.28081,0.04664
59,ASX_Trend_Following,MGL.au,Long,1998-05-04,open,6613.0,1.015,1998-06-15,open,6613.0,0.9552,zero position,28,-0.0609,-408.66,0.0148,-0.0837,0.05,6712,6.6,0.001,6.6,0.001,33.06,0.0049,31.74,0.005,0.0,6712.2,1,1,0,0,0,0.09184,0.13338
60,ASX_Trend_Following,SPK.au,Long,1998-01-27,open,661.0,6.8845,1998-06-15,open,661.0,7.2635,zero position,64,0.0966,439.66,0.1112,-0.0413,0.036,4551,6.6,0.0015,6.6,0.0014,22.8,0.005,24.13,0.005,202.34,4550.65,1,1,0,0,0,0.07344,0.00658
61,ASX_Trend_Following,SBC-200710.au,Long,1997-09-01,open,1028.0,5.9798,1998-06-29,open,1028.0,6.4177,zero position,191,0.1213,745.36,0.2124,-0.0802,0.05,6147,6.6,0.0011,6.6,0.001,30.58,0.005,33.15,0.005,308.4,6147.23,1,1,0,0,0,0.13873,0.1028
62,ASX_Trend_Following,EQK-199807.au,Long,1998-06-29,open,10233.0,0.6131,1998-07-28,close,10233.0,0.6368,end of data,16,0.0366,229.32,0.0439,-0.0051,0.05,6274,6.6,0.0011,6.6,0.001,31.72,0.0051,32.75,0.005,0.0,6273.85,1,1,0,0,0,5.1165,0.3301
63,ASX_Trend_Following,SPT-201207.au,Long,1996-11-25,open,1909.0,2.412,1998-08-03,open,2147.587,3.3333,zero position,397,0.6319,2909.51,0.7957,-0.2123,0.0458,4605,6.6,0.0014,6.6,0.0009,22.91,0.005,31.98,0.0045,368.67,4604.51,1,1,0,0,0,0.14141,0.00733
64,ASX_Trend_Following,WHW-199908.au,Long,1998-06-15,open,1235.0,2.643,1998-08-03,open,1235.0,3.6318,reduce position,35,0.3697,1206.87,0.4188,-0.0352,0.0257,3264,6.6,0.002,7.7,0.0017,31.23,0.0096,22.54,0.005,0.0,3264.11,1,1,0,0,0,0.02316,0.06275
65,ASX_Trend_Following,SPK.au,Long,1998-08-03,open,900.0,7.3315,1998-08-18,open,900.0,6.5869,zero position,8,-0.1036,-683.34,0.0,-0.097,0.05,6598,6.6,0.001,6.6,0.0011,32.85,0.005,29.79,0.005,0.0,6598.35,1,1,0,0,0,0.03333,0.0225
66,ASX_Trend_Following,MGL.au,Long,1998-06-29,open,6474.0,1.0049,1998-08-24,open,6474.0,0.8358,zero position,39,-0.1703,-1107.95,0.1344,-0.1939,0.05,6506,6.6,0.001,6.6,0.0012,31.72,0.0049,27.19,0.005,0.0,6505.72,1,1,0,0,0,0.24569,0.03174
